time = 38715236, x = 565, y = 245, flags = 0, message = 512
time = 38715236, x = 566, y = 245, flags = 0, message = 512
time = 38715251, x = 568, y = 244, flags = 0, message = 512
time = 38715251, x = 573, y = 244, flags = 0, message = 512
time = 38715267, x = 577, y = 244, flags = 0, message = 512
time = 38715267, x = 582, y = 244, flags = 0, message = 512
time = 38715282, x = 590, y = 244, flags = 0, message = 512
time = 38715282, x = 597, y = 244, flags = 0, message = 512
time = 38715298, x = 605, y = 244, flags = 0, message = 512
time = 38715298, x = 616, y = 244, flags = 0, message = 512
time = 38715314, x = 625, y = 244, flags = 0, message = 512
time = 38715314, x = 634, y = 244, flags = 0, message = 512
time = 38715329, x = 646, y = 245, flags = 0, message = 512
time = 38715329, x = 657, y = 246, flags = 0, message = 512
time = 38715345, x = 667, y = 247, flags = 0, message = 512
time = 38715345, x = 680, y = 251, flags = 0, message = 512
time = 38715360, x = 692, y = 253, flags = 0, message = 512
time = 38715360, x = 700, y = 255, flags = 0, message = 512
time = 38715376, x = 714, y = 258, flags = 0, message = 512
time = 38715376, x = 724, y = 261, flags = 0, message = 512
time = 38715392, x = 732, y = 263, flags = 0, message = 512
time = 38715392, x = 745, y = 266, flags = 0, message = 512
time = 38715407, x = 754, y = 268, flags = 0, message = 512
time = 38715407, x = 763, y = 270, flags = 0, message = 512
time = 38715423, x = 777, y = 274, flags = 0, message = 512
time = 38715438, x = 785, y = 277, flags = 0, message = 512
time = 38715438, x = 794, y = 279, flags = 0, message = 512
time = 38715454, x = 806, y = 284, flags = 0, message = 512
time = 38715454, x = 815, y = 287, flags = 0, message = 512
time = 38715470, x = 822, y = 290, flags = 0, message = 512
time = 38715470, x = 834, y = 296, flags = 0, message = 512
time = 38715485, x = 842, y = 300, flags = 0, message = 512
time = 38715485, x = 850, y = 303, flags = 0, message = 512
time = 38715501, x = 861, y = 310, flags = 0, message = 512
time = 38715501, x = 869, y = 315, flags = 0, message = 512
time = 38715516, x = 877, y = 319, flags = 0, message = 512
time = 38715516, x = 887, y = 326, flags = 0, message = 512
time = 38715532, x = 895, y = 330, flags = 0, message = 512
time = 38715532, x = 902, y = 334, flags = 0, message = 512
time = 38715548, x = 914, y = 341, flags = 0, message = 512
time = 38715548, x = 921, y = 345, flags = 0, message = 512
time = 38715563, x = 929, y = 351, flags = 0, message = 512
time = 38715563, x = 939, y = 356, flags = 0, message = 512
time = 38715579, x = 945, y = 359, flags = 0, message = 512
time = 38715579, x = 951, y = 362, flags = 0, message = 512
time = 38715594, x = 960, y = 367, flags = 0, message = 512
time = 38715594, x = 964, y = 369, flags = 0, message = 512
time = 38715610, x = 970, y = 371, flags = 0, message = 512
time = 38715610, x = 979, y = 375, flags = 0, message = 512
time = 38715626, x = 983, y = 377, flags = 0, message = 512
time = 38715626, x = 989, y = 377, flags = 0, message = 512
time = 38715641, x = 997, y = 381, flags = 0, message = 512
time = 38715641, x = 1002, y = 382, flags = 0, message = 512
time = 38715657, x = 1008, y = 383, flags = 0, message = 512
time = 38715657, x = 1017, y = 385, flags = 0, message = 512
time = 38715672, x = 1022, y = 386, flags = 0, message = 512
time = 38715672, x = 1028, y = 388, flags = 0, message = 512
time = 38715688, x = 1037, y = 390, flags = 0, message = 512
time = 38715688, x = 1043, y = 392, flags = 0, message = 512
time = 38715704, x = 1047, y = 393, flags = 0, message = 512
time = 38715704, x = 1052, y = 394, flags = 0, message = 512
time = 38715719, x = 1059, y = 398, flags = 0, message = 512
time = 38715719, x = 1064, y = 400, flags = 0, message = 512
time = 38715735, x = 1071, y = 405, flags = 0, message = 512
time = 38715750, x = 1077, y = 408, flags = 0, message = 512
time = 38715750, x = 1082, y = 411, flags = 0, message = 512
time = 38715766, x = 1088, y = 415, flags = 0, message = 512
time = 38715766, x = 1093, y = 417, flags = 0, message = 512
time = 38715782, x = 1096, y = 419, flags = 0, message = 512
time = 38715782, x = 1100, y = 421, flags = 0, message = 512
time = 38715797, x = 1101, y = 422, flags = 0, message = 512
time = 38715797, x = 1103, y = 422, flags = 0, message = 512
time = 38715891, x = 1103, y = 422, flags = 0, message = 513
time = 38716016, x = 1103, y = 422, flags = 0, message = 514
time = 38716094, x = 1103, y = 422, flags = 0, message = 512
time = 38716109, x = 1103, y = 422, flags = 0, message = 512
time = 38716125, x = 1103, y = 421, flags = 0, message = 512
time = 38716125, x = 1103, y = 420, flags = 0, message = 512
time = 38716140, x = 1101, y = 419, flags = 0, message = 512
time = 38716140, x = 1099, y = 416, flags = 0, message = 512
time = 38716156, x = 1095, y = 414, flags = 0, message = 512
time = 38716156, x = 1092, y = 410, flags = 0, message = 512
time = 38716172, x = 1088, y = 406, flags = 0, message = 512
time = 38716172, x = 1080, y = 401, flags = 0, message = 512
time = 38716187, x = 1073, y = 395, flags = 0, message = 512
time = 38716187, x = 1065, y = 391, flags = 0, message = 512
time = 38716203, x = 1054, y = 387, flags = 0, message = 512
time = 38716203, x = 1046, y = 383, flags = 0, message = 512
time = 38716218, x = 1038, y = 381, flags = 0, message = 512
time = 38716218, x = 1027, y = 379, flags = 0, message = 512
time = 38716234, x = 1022, y = 378, flags = 0, message = 512
time = 38716234, x = 1015, y = 377, flags = 0, message = 512
time = 38716250, x = 1006, y = 377, flags = 0, message = 512
time = 38716250, x = 999, y = 377, flags = 0, message = 512
time = 38716265, x = 993, y = 377, flags = 0, message = 512
time = 38716265, x = 985, y = 378, flags = 0, message = 512
time = 38716281, x = 978, y = 379, flags = 0, message = 512
time = 38716281, x = 970, y = 381, flags = 0, message = 512
time = 38716296, x = 960, y = 385, flags = 0, message = 512
time = 38716296, x = 953, y = 387, flags = 0, message = 512
time = 38716312, x = 947, y = 390, flags = 0, message = 512
time = 38716312, x = 938, y = 393, flags = 0, message = 512
time = 38716328, x = 932, y = 396, flags = 0, message = 512
time = 38716328, x = 927, y = 400, flags = 0, message = 512
time = 38716343, x = 920, y = 405, flags = 0, message = 512
time = 38716343, x = 915, y = 409, flags = 0, message = 512
time = 38716359, x = 910, y = 413, flags = 0, message = 512
time = 38716374, x = 902, y = 420, flags = 0, message = 512
time = 38716374, x = 897, y = 424, flags = 0, message = 512
time = 38716390, x = 892, y = 428, flags = 0, message = 512
time = 38716390, x = 885, y = 433, flags = 0, message = 512
time = 38716406, x = 880, y = 437, flags = 0, message = 512
time = 38716406, x = 874, y = 441, flags = 0, message = 512
time = 38716421, x = 865, y = 446, flags = 0, message = 512
time = 38716421, x = 859, y = 451, flags = 0, message = 512
time = 38716437, x = 853, y = 455, flags = 0, message = 512
time = 38716437, x = 843, y = 459, flags = 0, message = 512
time = 38716452, x = 837, y = 462, flags = 0, message = 512
time = 38716452, x = 829, y = 465, flags = 0, message = 512
time = 38716468, x = 819, y = 471, flags = 0, message = 512
time = 38716468, x = 812, y = 474, flags = 0, message = 512
time = 38716484, x = 801, y = 477, flags = 0, message = 512
time = 38716484, x = 793, y = 480, flags = 0, message = 512
time = 38716499, x = 785, y = 483, flags = 0, message = 512
time = 38716499, x = 778, y = 486, flags = 0, message = 512
time = 38716515, x = 765, y = 488, flags = 0, message = 512
time = 38716515, x = 758, y = 491, flags = 0, message = 512
time = 38716530, x = 751, y = 492, flags = 0, message = 512
time = 38716530, x = 740, y = 495, flags = 0, message = 512
time = 38716546, x = 732, y = 496, flags = 0, message = 512
time = 38716546, x = 724, y = 498, flags = 0, message = 512
time = 38716562, x = 713, y = 499, flags = 0, message = 512
time = 38716562, x = 705, y = 499, flags = 0, message = 512
time = 38716577, x = 697, y = 499, flags = 0, message = 512
time = 38716577, x = 683, y = 499, flags = 0, message = 512
time = 38716593, x = 674, y = 499, flags = 0, message = 512
time = 38716593, x = 664, y = 499, flags = 0, message = 512
time = 38716608, x = 652, y = 499, flags = 0, message = 512
time = 38716608, x = 644, y = 499, flags = 0, message = 512
time = 38716624, x = 635, y = 499, flags = 0, message = 512
time = 38716624, x = 623, y = 499, flags = 0, message = 512
time = 38716640, x = 615, y = 499, flags = 0, message = 512
time = 38716640, x = 607, y = 499, flags = 0, message = 512
time = 38716655, x = 596, y = 499, flags = 0, message = 512
time = 38716655, x = 589, y = 499, flags = 0, message = 512
time = 38716671, x = 582, y = 500, flags = 0, message = 512
time = 38716686, x = 572, y = 501, flags = 0, message = 512
time = 38716686, x = 566, y = 503, flags = 0, message = 512
time = 38716702, x = 560, y = 505, flags = 0, message = 512
time = 38716702, x = 553, y = 508, flags = 0, message = 512
time = 38716718, x = 547, y = 509, flags = 0, message = 512
time = 38716718, x = 543, y = 512, flags = 0, message = 512
time = 38716733, x = 538, y = 514, flags = 0, message = 512
time = 38716733, x = 534, y = 516, flags = 0, message = 512
time = 38716749, x = 531, y = 518, flags = 0, message = 512
time = 38716749, x = 526, y = 521, flags = 0, message = 512
time = 38716764, x = 524, y = 523, flags = 0, message = 512
time = 38716764, x = 521, y = 525, flags = 0, message = 512
time = 38716780, x = 517, y = 527, flags = 0, message = 512
time = 38716780, x = 514, y = 528, flags = 0, message = 512
time = 38716796, x = 512, y = 530, flags = 0, message = 512
time = 38716796, x = 509, y = 531, flags = 0, message = 512
time = 38716811, x = 507, y = 532, flags = 0, message = 512
time = 38716811, x = 505, y = 533, flags = 0, message = 512
time = 38716827, x = 503, y = 534, flags = 0, message = 512
time = 38716827, x = 503, y = 534, flags = 0, message = 512
time = 38716889, x = 503, y = 534, flags = 0, message = 513
time = 38717014, x = 503, y = 534, flags = 0, message = 514
time = 38717154, x = 502, y = 534, flags = 0, message = 512
time = 38717154, x = 502, y = 533, flags = 0, message = 512
time = 38717170, x = 502, y = 531, flags = 0, message = 512
time = 38717170, x = 503, y = 530, flags = 0, message = 512
time = 38717186, x = 506, y = 527, flags = 0, message = 512
time = 38717186, x = 509, y = 526, flags = 0, message = 512
time = 38717201, x = 514, y = 524, flags = 0, message = 512
time = 38717201, x = 522, y = 520, flags = 0, message = 512
time = 38717217, x = 530, y = 518, flags = 0, message = 512
time = 38717217, x = 537, y = 515, flags = 0, message = 512
time = 38717232, x = 549, y = 511, flags = 0, message = 512
time = 38717232, x = 558, y = 508, flags = 0, message = 512
time = 38717248, x = 567, y = 503, flags = 0, message = 512
time = 38717248, x = 579, y = 498, flags = 0, message = 512
time = 38717264, x = 589, y = 493, flags = 0, message = 512
time = 38717264, x = 599, y = 488, flags = 0, message = 512
time = 38717279, x = 613, y = 479, flags = 0, message = 512
time = 38717279, x = 624, y = 473, flags = 0, message = 512
time = 38717295, x = 633, y = 467, flags = 0, message = 512
time = 38717310, x = 648, y = 456, flags = 0, message = 512
time = 38717310, x = 659, y = 448, flags = 0, message = 512
time = 38717326, x = 666, y = 441, flags = 0, message = 512
time = 38717326, x = 679, y = 427, flags = 0, message = 512
time = 38717342, x = 687, y = 415, flags = 0, message = 512
time = 38717342, x = 695, y = 405, flags = 0, message = 512
time = 38717357, x = 704, y = 388, flags = 0, message = 512
time = 38717357, x = 710, y = 375, flags = 0, message = 512
time = 38717373, x = 714, y = 365, flags = 0, message = 512
time = 38717373, x = 718, y = 349, flags = 0, message = 512
time = 38717388, x = 722, y = 339, flags = 0, message = 512
time = 38717388, x = 723, y = 331, flags = 0, message = 512
time = 38717404, x = 723, y = 319, flags = 0, message = 512
time = 38717404, x = 723, y = 310, flags = 0, message = 512
time = 38717420, x = 721, y = 303, flags = 0, message = 512
time = 38717420, x = 717, y = 292, flags = 0, message = 512
time = 38717435, x = 713, y = 284, flags = 0, message = 512
time = 38717435, x = 708, y = 277, flags = 0, message = 512
time = 38717451, x = 700, y = 268, flags = 0, message = 512
time = 38717451, x = 694, y = 263, flags = 0, message = 512
time = 38717466, x = 687, y = 259, flags = 0, message = 512
time = 38717466, x = 681, y = 256, flags = 0, message = 512
time = 38717482, x = 673, y = 252, flags = 0, message = 512
time = 38717482, x = 668, y = 251, flags = 0, message = 512
time = 38717498, x = 660, y = 249, flags = 0, message = 512
time = 38717498, x = 654, y = 249, flags = 0, message = 512
time = 38717513, x = 647, y = 249, flags = 0, message = 512
time = 38717513, x = 642, y = 249, flags = 0, message = 512
time = 38717529, x = 635, y = 251, flags = 0, message = 512
time = 38717529, x = 629, y = 253, flags = 0, message = 512
time = 38717544, x = 623, y = 257, flags = 0, message = 512
time = 38717544, x = 619, y = 260, flags = 0, message = 512
time = 38717560, x = 615, y = 263, flags = 0, message = 512
time = 38717560, x = 613, y = 267, flags = 0, message = 512
time = 38717576, x = 610, y = 273, flags = 0, message = 512
time = 38717576, x = 607, y = 276, flags = 0, message = 512
time = 38717591, x = 606, y = 281, flags = 0, message = 512
time = 38717591, x = 605, y = 286, flags = 0, message = 512
time = 38717607, x = 604, y = 291, flags = 0, message = 512
time = 38717622, x = 604, y = 295, flags = 0, message = 512
time = 38717622, x = 604, y = 302, flags = 0, message = 512
time = 38717638, x = 606, y = 308, flags = 0, message = 512
time = 38717638, x = 609, y = 314, flags = 0, message = 512
time = 38717654, x = 615, y = 324, flags = 0, message = 512
time = 38717654, x = 619, y = 331, flags = 0, message = 512
time = 38717669, x = 623, y = 338, flags = 0, message = 512
time = 38717669, x = 631, y = 349, flags = 0, message = 512
time = 38717685, x = 637, y = 357, flags = 0, message = 512
time = 38717685, x = 643, y = 364, flags = 0, message = 512
time = 38717700, x = 653, y = 376, flags = 0, message = 512
time = 38717700, x = 660, y = 385, flags = 0, message = 512
time = 38717716, x = 668, y = 395, flags = 0, message = 512
time = 38717716, x = 681, y = 410, flags = 0, message = 512
time = 38717732, x = 690, y = 419, flags = 0, message = 512
time = 38717732, x = 699, y = 428, flags = 0, message = 512
time = 38717747, x = 714, y = 440, flags = 0, message = 512
time = 38717747, x = 724, y = 450, flags = 0, message = 512
time = 38717763, x = 733, y = 457, flags = 0, message = 512
time = 38717763, x = 749, y = 471, flags = 0, message = 512
time = 38717778, x = 756, y = 478, flags = 0, message = 512
time = 38717778, x = 765, y = 485, flags = 0, message = 512
time = 38717794, x = 776, y = 497, flags = 0, message = 512
time = 38717794, x = 783, y = 505, flags = 0, message = 512
time = 38717810, x = 791, y = 513, flags = 0, message = 512
time = 38717810, x = 800, y = 524, flags = 0, message = 512
time = 38717825, x = 805, y = 532, flags = 0, message = 512
time = 38717825, x = 811, y = 539, flags = 0, message = 512
time = 38717841, x = 818, y = 551, flags = 0, message = 512
time = 38717841, x = 822, y = 557, flags = 0, message = 512
time = 38717856, x = 825, y = 563, flags = 0, message = 512
time = 38717856, x = 828, y = 573, flags = 0, message = 512
time = 38717872, x = 830, y = 579, flags = 0, message = 512
time = 38717872, x = 831, y = 585, flags = 0, message = 512
time = 38717888, x = 832, y = 593, flags = 0, message = 512
time = 38717888, x = 832, y = 599, flags = 0, message = 512
time = 38717903, x = 832, y = 604, flags = 0, message = 512
time = 38717919, x = 830, y = 611, flags = 0, message = 512
time = 38717919, x = 827, y = 618, flags = 0, message = 512
time = 38717934, x = 823, y = 622, flags = 0, message = 512
time = 38717934, x = 815, y = 630, flags = 0, message = 512
time = 38717950, x = 809, y = 634, flags = 0, message = 512
time = 38717950, x = 802, y = 637, flags = 0, message = 512
time = 38717966, x = 792, y = 641, flags = 0, message = 512
time = 38717966, x = 784, y = 642, flags = 0, message = 512
time = 38717981, x = 775, y = 642, flags = 0, message = 512
time = 38717981, x = 764, y = 642, flags = 0, message = 512
time = 38717997, x = 757, y = 642, flags = 0, message = 512
time = 38717997, x = 752, y = 641, flags = 0, message = 512
time = 38718012, x = 746, y = 638, flags = 0, message = 512
time = 38718012, x = 741, y = 636, flags = 0, message = 512
time = 38718028, x = 739, y = 634, flags = 0, message = 512
time = 38718028, x = 737, y = 634, flags = 0, message = 512
time = 38718044, x = 737, y = 631, flags = 0, message = 512
time = 38718044, x = 737, y = 629, flags = 0, message = 512
time = 38718059, x = 737, y = 625, flags = 0, message = 512
time = 38718059, x = 737, y = 621, flags = 0, message = 512
time = 38718075, x = 737, y = 615, flags = 0, message = 512
time = 38718075, x = 740, y = 609, flags = 0, message = 512
time = 38718090, x = 742, y = 604, flags = 0, message = 512
time = 38718090, x = 745, y = 600, flags = 0, message = 512
time = 38718106, x = 749, y = 595, flags = 0, message = 512
time = 38718106, x = 752, y = 591, flags = 0, message = 512
time = 38718122, x = 754, y = 587, flags = 0, message = 512
time = 38718122, x = 757, y = 585, flags = 0, message = 512
time = 38718137, x = 758, y = 584, flags = 0, message = 512
time = 38718137, x = 760, y = 582, flags = 0, message = 512
time = 38718153, x = 761, y = 581, flags = 0, message = 512
time = 38718153, x = 762, y = 580, flags = 0, message = 512
time = 38718168, x = 762, y = 580, flags = 0, message = 512
time = 38718184, x = 763, y = 580, flags = 0, message = 512
time = 38718246, x = 764, y = 580, flags = 0, message = 512
time = 38718246, x = 764, y = 580, flags = 0, message = 513
time = 38718340, x = 764, y = 580, flags = 0, message = 514
time = 38718496, x = 765, y = 580, flags = 0, message = 512
time = 38718496, x = 766, y = 579, flags = 0, message = 512
time = 38718512, x = 768, y = 579, flags = 0, message = 512
